INN,org_id,city,non_mat_assets_2024,fixed_assets_2024,rev_2024,cost_price_2024,tax_2024,percent_2024,profit_2024,non_mat_assets_2023,fixed_assets_2023,rev_2023,cost_price_2023,tax_2023,percent_2023,profit_2023,non_mat_assets_2022,fixed_assets_2022,rev_2022,cost_price_2022,tax_2022,percent_2022,profit_2022,non_mat_assets_2021,fixed_assets_2021,rev_2021,cost_price_2021,tax_2021,percent_2021,profit_2021,non_mat_assets_2020,fixed_assets_2020,rev_2020,cost_price_2020,tax_2020,percent_2020,profit_2020,non_mat_assets_2019,fixed_assets_2019,rev_2019,cost_price_2019,tax_2019,percent_2019,profit_2019
5038038838,5872486,Пушкино,27.0,347613.0,112540.0,95619.0,-191.0,1521.0,-20129.0,32.0,334651.0,108966.0,90500.0,-248.0,3334.0,-20913.0,37.0,397311.0,118633.0,83747.0,-336.0,141.0,19518.0,42.0,419266.0,184044.0,150023.0,-320.0,5601.0,3080.0,0.0,533831.0,303726.0,293308.0,-310.0,23013.0,-8543.0,2.0,568812.0,341732.0,298239.0,-925.0,35138.0,-20438.0
5027064258,5972153,Люберцы,12.0,3464.0,930280.0,836164.0,-2629.0,,3594.0,15.0,1670.0,594302.0,512962.0,-6139.0,,454.0,18.0,4161.0,253804.0,220644.0,-729.0,,2339.0,20.0,8854.0,249375.0,195335.0,-737.0,,3984.0,23.0,14305.0,434461.0,382379.0,-1438.0,,3836.0,25.0,17739.0,571571.0,492926.0,-3106.0,,9534.0
5027006369,6900709,Дзержинский,,1301535.0,429496.0,419348.0,-8184.0,705.0,28998.0,,1174472.0,1565001.0,854018.0,-145629.0,1946.0,582441.0,,1944535.0,683396.0,659189.0,-8568.0,2791.0,31442.0,,1800870.0,584219.0,554203.0,-5463.0,,20376.0,,1706852.0,566014.0,523501.0,-8056.0,,29618.0,,1706263.0,651543.0,646914.0,-7341.0,,28242.0
7701651356,2996748,Тюмень,1271.0,1721.0,255230.0,22052.0,94.0,210634.0,113.0,1271.0,2585.0,74252.0,64257.0,277.0,2487.0,-2777.0,1271.0,3457.0,85623.0,81346.0,-750.0,950.0,1562.0,1271.0,4140.0,64999.0,39771.0,872.0,21172.0,-4706.0,,557.0,119682.0,-84314.0,-153.0,,79.0,,219.0,152321.0,-108311.0,-116.0,,190.0
1414006922,4980670,Москва,,93489.0,1107569.0,930030.0,-16937.0,,54850.0,,91174.0,1002486.0,916947.0,-8624.0,,19889.0,,68812.0,938983.0,890049.0,-3933.0,,3375.0,,66494.0,685315.0,658793.0,-5820.0,,2092.0,,493909.0,397084.0,382999.0,1431.0,3161.0,-5382.0,,406808.0,427117.0,390552.0,-258.0,23836.0,1386.0
3327332190,3867230,Владимир,,148048.0,1297470.0,1223036.0,-13461.0,,47723.0,,112388.0,1031417.0,953711.0,-10025.0,,40101.0,,49520.0,458713.0,395005.0,-7693.0,,30374.0,,45732.0,584483.0,522125.0,-5560.0,,20565.0,,26377.0,569861.0,522237.0,-4739.0,,18957.0,,13258.0,356631.0,318897.0,-3039.0,,12154.0
7816061297,7041303,Санкт-Петербург,,8223.0,782668.0,743851.0,2975.0,,11674.0,,1556.0,116186.0,115040.0,141.0,,565.0,,2846.0,61921.0,51268.0,-121.0,9.0,444.0,,5840.0,179874.0,169339.0,-308.0,,1077.0,,2149.0,198107.0,180728.0,-1021.0,40.0,5273.0,,,112328.0,91244.0,-1384.0,59.0,12293.0
3525048992,6840082,Вологда,,242163.0,1105703.0,863678.0,-21634.0,27152.0,29549.0,,169608.0,1838703.0,1486155.0,-58616.0,1060.0,183854.0,,75460.0,332866.0,285101.0,-1665.0,2522.0,10568.0,,21233.0,174460.0,144491.0,-5381.0,1680.0,9611.0,,24862.0,135363.0,-114476.0,1972.0,-2232.0,-10662.0,,16067.0,111979.0,-113923.0,-453.0,-494.0,2656.0
2515000365,5446585,Кавалеровский,,52719.0,176464.0,139875.0,,1481.0,619.0,,54963.0,191358.0,151887.0,,2834.0,139.0,,37919.0,210423.0,138860.0,-10336.0,1004.0,33698.0,,27702.0,109061.0,93343.0,-3486.0,543.0,62.0,,30454.0,92320.0,68082.0,-1421.0,44.0,176.0,,7651.0,75979.0,59799.0,-2848.0,14.0,21188.0
3101000612,7244164,Алексеевка,,35553.0,90288.0,98077.0,-687.0,,-21506.0,,42356.0,120415.0,118127.0,-1421.0,,-15367.0,,28562.0,11618.0,14841.0,0.0,,-13022.0,,19333.0,10052.0,4398.0,-14.0,,-3050.0,,20868.0,8389.0,12153.0,-59.0,,-3765.0,,19901.0,108680.0,122823.0,-165.0,,-14814.0
5902126804,2608351,Пермь,,9427.0,145548.0,110794.0,591.0,3017.0,21635.0,,8934.0,67038.0,64609.0,699.0,1087.0,305.0,,9451.0,52842.0,35149.0,-386.0,14.0,4885.0,,9210.0,43676.0,24818.0,-485.0,5.0,10563.0,0.0,9994.0,19949.0,26234.0,-306.0,48.0,-13291.0,,10265.0,37346.0,30614.0,-337.0,100.0,545.0
523005733,4659067,Магарамкентский,,32080.0,91703.0,67737.0,-290.0,,2028.0,,21081.0,56775.0,31091.0,,,1242.0,,,188416.0,174107.0,-385.0,,1539.0,,,64542.0,45217.0,-105.0,,422.0,,,147175.0,131988.0,,,-3396.0,,,,,,,0.0
7724745755,2083796,Москва,,34951.0,1871289.0,1638209.0,-22688.0,30226.0,89807.0,,54811.0,1129443.0,1065452.0,-9942.0,7445.0,28092.0,,34779.0,1644191.0,1344109.0,-15640.0,,47631.0,,51864.0,2520955.0,1750179.0,-51626.0,,193325.0,,33622.0,257980.0,199001.0,-3577.0,,342.0,,34779.0,1644191.0,1344109.0,-15640.0,,47631.0
504007693,5591507,Ахтынский,,30169.0,14446.0,6754.0,-220.0,,190.0,,32174.0,546027.0,529894.0,53.0,,228.0,,76685.0,17729.0,11856.0,-208.0,,833.0,,81162.0,33431.0,22671.0,-565.0,,240.0,,81515.0,28257.0,22555.0,-973.0,,806.0,,88930.0,589234.0,561412.0,-1183.0,,4493.0
2901030646,1410906,Архангельск,,5155.0,10902.0,7036.0,2990.0,1961.0,-10419.0,,6445.0,750704.0,790194.0,-52.0,8858.0,-46946.0,,3070.0,166221.0,62948.0,-6899.0,4738.0,2287.0,,564.0,139146.0,50374.0,-8734.0,2488.0,9858.0,,16191.0,1030543.0,929747.0,-6717.0,8328.0,3199.0,,3070.0,166221.0,62948.0,-6899.0,4738.0,2287.0
7709008852,6462814,Москва,,27519.0,181368.0,105111.0,,26904.0,-96249.0,,32070.0,1152402.0,841390.0,,64360.0,-150389.0,0.0,37952.0,975011.0,774495.0,-9025.0,1391.0,20757.0,0.0,44867.0,2869295.0,2656494.0,-5000.0,1001.0,20134.0,0.0,42315.0,2382823.0,1836344.0,-6480.0,4282.0,4376.0,0.0,43304.0,1722945.0,1647565.0,-3168.0,6627.0,13740.0
3811167535,7906828,Иркутск,,5134.0,336907.0,284420.0,-2013.0,850.0,12084.0,,2829.0,354342.0,316100.0,-260.0,964.0,-104.0,,1037.0,501709.0,439736.0,-7315.0,5811.0,28887.0,,269.0,230259.0,217033.0,-429.0,48.0,611.0,,2647.0,394243.0,360669.0,-1248.0,2001.0,1539.0,,1037.0,501709.0,439736.0,-7315.0,5811.0,28887.0
